"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Alex Cejka",-0.566,277.5,0.219,0.102,-0.237,-0.431,72.021,163,178,77,9,15,66
"Cameron Tringale",-0.567,290.3,-0.123,0.189,-0.968,0.211,72.539,190,188,84,6,13,55
"Parker McLachlin",-0.61,273.1,-0.087,0.07,-1.464,0.785,72.697,199,185,0,5,8,27
"Kelly Kraft",-0.611,297,-0.093,-0.037,-0.324,-0.251,71.328,100,183,79,7,13,58
"Grayson Murray",-0.636,321.3,-0.554,-0.642,0.432,-0.427,72.907,206,185,90,5,11,52
"Satoshi Kodaira",-0.654,282.3,-0.647,-0.33,-0.002,-0.323,72.736,201,170,68,4,11,102
"Wyndham Clark",-0.654,318.3,0.456,-0.707,-0.005,0.058,71.388,106,183,78,17,27,108
"Derek Ernst",-0.69,289.6,-0.256,-0.568,-0.438,0.316,72.947,207,183,84,6,7,26
"Brooks Koepka",-0.694,289.5,-0.382,0.078,-0.902,0.13,70.708,53,183,92,7,14,36
"Sangmoon Bae",-0.697,293.6,-0.161,-0.525,0.559,-0.73,72.3,180,183,82,8,16,63
"Jordan Spieth",-0.712,294.8,0.686,0.488,-0.971,-0.228,71.323,99,185,79,3,14,27
"Chris Stroud",-0.722,288.7,-0.359,0.535,-1.037,-0.219,72.508,188,188,82,7,11,57
"Seamus Power",-0.728,291.3,0.129,-0.983,-0.002,0.257,72.515,189,191,91,11,18,76
"Sean O'Hair",-0.751,284.3,-0.829,-0.473,0.237,-0.515,72.006,162,188,82,6,11,57
"Anirban Lahiri",-0.751,300.8,-0.121,-0.283,-0.7,0.233,71.553,125,175,79,8,11,34
"Brice Garnett",-0.816,279.3,0.111,-0.73,0.564,-0.65,71.221,91,180,79,8,17,112
"Stuart Appleby",-0.816,268.2,0.631,0.466,-1.007,-0.275,71.434,113,185,84,7,9,59
"Mackenzie Hughes",-0.831,298.2,-0.199,-0.354,-0.858,0.381,72.599,193,185,82,11,19,47
"John Huh",-0.849,282.4,-0.569,-0.175,-0.238,-0.436,72.893,205,183,86,10,20,56
"Robert Garrigus",-0.892,297.3,0.519,0.835,-1.271,-0.455,72.598,191,180,86,7,8,50
"Retief Goosen",-0.899,279.5,-0.667,-0.335,-0.457,-0.107,72.161,170,180,84,0,4,23
"Dominic Bozzelli",-0.9,297.9,1.058,-0.688,-0.03,-0.182,70.536,40,183,81,8,18,86
"Chad Campbell",-0.933,270.1,-2.199,-0.711,-0.038,-0.184,74.435,224,185,93,6,10,45
"Ricky Barnes",-0.946,290.4,-0.378,-0.547,-0.959,0.56,73.152,211,188,91,9,14,45
"Si Woo Kim",-0.981,298.7,2.455,-0.406,-0.943,0.369,70.092,21,180,83,16,27,32
"Roger Sloan",-1.032,294,-0.008,-0.685,-0.034,-0.314,72.159,169,188,79,11,21,92
"John Senden",-1.034,297.4,-0.169,-0.477,-0.463,-0.093,72.632,196,193,91,5,9,57
"Brendon Todd",-1.042,273.3,0.452,-0.97,0.266,-0.338,70.179,24,190,82,1,1,34
"Ted Potter, Jr.",-1.088,273.3,-0.583,-0.43,0.078,-0.736,72.478,187,180,82,13,28,98
"Tyler Duncan",-1.163,284.7,-1.332,-0.557,0.013,-0.619,72.634,197,173,68,10,25,102
"Jason Dufner",-1.174,284.4,0.053,-1.533,0.031,0.328,71.884,156,178,82,18,32,45
"Sung Kang",-1.188,293.9,-0.304,-0.533,0.085,-0.74,71.858,155,173,75,20,28,54
"Adam Long",-1.273,296.6,-0.622,-0.389,-0.172,-0.712,73.402,214,178,73,1,6,58
"Andrew Putnam",-1.274,269.3,1.698,0.343,-1.018,-0.599,71.368,104,185,77,15,22,42
"Ben Crane",-1.365,276.3,0.625,-0.409,-0.754,-0.202,71.783,144,180,75,10,14,76
"Freddie Jacobson",-1.436,295.5,-0.358,-0.135,-0.394,-0.908,74.064,220,185,81,2,9,30
"Adam Hadwin",-1.601,291.8,-0.881,-0.663,0.291,-1.229,70.85,63,173,75,17,22,16
"Francesco Molinari",-1.823,273.8,-0.003,-1.44,-0.149,-0.233,73.659,217,173,72,4,7,48
"D.A. Points",-1.843,260.7,0.339,-0.872,-0.594,-0.377,71.585,127,185,88,3,3,28
"Michael Kim",-2.097,268.6,-0.313,-0.061,-2.075,0.039,74.404,223,180,75,11,25,88
"Chad Collins",-2.343,269.1,1.051,-1.245,-1.445,0.347,73.561,216,175,79,12,20,41
"David Lingmerth",-2.497,264.9,-0.316,-2.379,-1.045,0.927,73.402,214,170,79,3,5,25
"Wesley Bryan",-3.253,267.8,-2.022,-0.599,-2.57,-0.084,75.529,226,183,0,6,9,43
"Eric Axley",-3.638,259.5,-0.594,-1.201,-1.73,-0.708,74.161,221,183,84,4,8,20
