,Average Tee To Green,Average Driving Distance,Average SG: Putting,Average Approach the Green,Average Off The Tee,Average SG: Around The Green,Scoring Average,Rank,Height,Weight,Sand Saves,Bunkers,Hit Fairway
Stewart Cink,0.756,296.2,0.337,-0.378,0.477,0.657,71.17,92,193,93,14,30,44
J.B. Holmes,0.709,297.6,-0.359,-0.149,0.381,0.477,71.012,76,180,86,22,34,33
Danny Willett,0.664,291.4,-0.768,1.154,-0.67,0.18,72.344,179,180,77,8,18,41
Scott Piercy,0.662,291.6,-0.436,0.458,0.137,0.066,70.759,57,183,84,19,37,166
Kevin Streelman,0.655,290.9,-0.796,0.267,0.596,-0.208,72.108,166,178,79,12,29,136
Cameron Champ,0.654,319.9,0.605,-0.005,1.107,-0.448,70.05,13,183,79,10,26,195
J.J. Spaun,0.623,290.6,-0.27,0.669,0.018,-0.065,70.958,69,175,83,17,37,118
Dylan Frittelli,0.621,299.7,-0.011,-0.179,0.602,0.198,71.08,83,188,81,20,33,129
Roberto Castro,0.585,285.5,0.201,0.755,-0.265,0.095,70.917,67,183,77,10,23,166
Sam Ryder,0.566,296.4,0.796,0.416,0.147,0.003,70.699,54,188,79,34,51,138
Patton Kizzire,0.553,287.6,0.718,0.301,-0.066,0.318,71.208,96,196,98,24,48,111
Sebasti‡n Mu–oz,0.546,298,-0.586,-0.152,0.205,0.493,71.546,130,183,83,23,50,159
Harold Varner III,0.533,302.9,0.436,0.02,0.351,0.161,70.252,19,173,77,13,24,137
Michael Thompson,0.529,293.5,0.462,0.597,0.064,-0.131,70.544,40,183,83,14,31,121
Jason Day,0.519,307,1.049,-0.623,0.754,0.388,70.363,26,183,88,13,25,73
Trey Mullinax,0.515,304.2,-0.907,0.178,0.387,-0.05,71.305,105,193,88,19,37,129
Zach Johnson,0.506,284.3,0.918,0.577,-0.292,0.221,70.337,23,180,74,6,11,60
Matt Jones,0.497,294.4,-0.044,-0.077,0.359,0.215,71.54,129,183,77,23,39,145
Ernie Els,0.483,283.6,0.26,-0.231,0.104,0.61,71.505,123,191,95,19,24,30
Hank Lebioda,0.467,290.6,-0.207,0.036,0.167,0.264,71.017,78,180,81,14,32,135
Russell Knox,0.457,293.2,-0.537,0.588,-0.304,0.173,71.618,135,178,72,8,14,85
Robert Streb,0.456,287.6,0.179,0.447,-0.156,0.165,71.001,75,178,75,20,41,175
Bud Cauley,0.453,294.3,0.205,0.028,-0.181,0.606,70.799,58,170,73,15,27,106
Joel Dahmen,0.446,293.7,0.175,-0.027,0.412,0.062,70.589,43,180,80,29,55,170
