"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Kyle Stanley",-0.46,294.6,-0.487,-0.247,0.079,-0.292,71.691,146,180,75,19,40,55
"Mackenzie Hughes",-0.46,293.6,-0.469,-0.283,-0.258,0.081,72.075,171,185,82,18,41,109
"Chad Campbell",-0.467,267.8,-1.742,-0.344,-0.176,0.052,73.735,214,185,93,8,16,53
"Ryan Armour",-0.468,273.4,0.536,-0.215,-0.249,-0.003,71.029,79,175,77,22,41,153
"Jason Dufner",-0.506,287.3,-0.657,-0.591,-0.325,0.411,72.24,181,178,82,23,44,79
"Brian Gay",-0.538,275.9,1.195,-0.302,-0.374,0.139,71.053,83,178,75,23,58,172
"J.J. Henry",-0.538,280.8,-0.743,-0.098,-0.27,-0.17,73.004,205,191,91,10,26,85
"Kelly Kraft",-0.598,292,-0.463,0.124,-0.401,-0.321,71.754,150,183,79,21,39,99
"Chris Thompson",-0.625,287.7,-0.165,-0.279,-0.149,-0.198,72.806,199,188,88,15,37,101
"Kyoung-Hoon Lee",-0.639,281.1,0.221,-0.35,-0.07,-0.219,72.063,170,175,80,25,45,119
"Alex Cejka",-0.641,278,-0.378,-0.248,0.058,-0.451,72.34,184,178,77,18,41,123
"John Senden",-0.676,282.8,-0.098,-0.214,-0.36,-0.102,72.212,180,193,91,12,23,97
"Brooks Koepka",-0.694,289.5,-0.382,0.078,-0.902,0.13,70.708,53,183,92,7,14,36
"Cody Gribble",-0.754,289,-0.367,-0.446,-0.583,0.276,72.446,189,175,75,16,37,123
"Jordan Spieth",-0.759,293.7,0.218,-0.096,-0.574,-0.09,71.112,86,185,79,13,33,74
"Brandon Hagy",-0.776,313,-0.074,-0.3,0.118,-0.594,72.594,191,180,72,10,25,78
"Tyler Duncan",-0.788,287.7,-1.111,-0.485,0.061,-0.364,72.13,174,173,68,23,50,201
"Stuart Appleby",-0.816,268.2,0.631,0.466,-1.007,-0.275,71.434,120,185,84,7,9,59
"Shawn Stefani",-0.819,289,-0.143,-0.358,-0.521,0.06,72.129,173,188,93,15,27,125
"Austin Cook",-0.845,286.7,-0.54,0.295,-0.337,-0.803,71.318,106,170,73,19,40,77
"Jamie Lovemark",-0.848,290.4,0.001,-0.576,-0.217,-0.055,71.613,139,193,98,28,46,55
"John Huh",-0.864,281.7,-0.093,-0.174,-0.402,-0.288,72.27,182,183,86,23,50,160
"Ricky Barnes",-0.885,284.3,-0.622,-0.562,-0.714,0.392,72.856,201,188,91,11,19,53
"Sean O'Hair",-0.915,294.3,-0.13,-0.572,-0.194,-0.149,71.841,156,188,82,23,35,132
"Satoshi Kodaira",-0.916,283.3,-0.583,-0.262,-0.305,-0.349,72.769,197,170,68,12,27,159
"Rod Pampling",-0.968,285.3,-0.979,-0.905,-0.456,0.394,73.142,208,178,79,24,46,55
"Grayson Murray",-1.054,312.9,-0.494,-0.931,0.024,-0.146,72.923,204,185,90,17,40,108
"Pat Perez",-1.074,285.3,0.92,-0.824,-0.02,-0.23,71.604,137,183,86,12,29,30
"Freddie Jacobson",-1.224,287.5,-0.266,0.087,-0.278,-1.032,72.871,202,185,81,6,17,64
"Charl Schwartzel",-1.252,293.4,-0.119,0.345,-1.749,0.153,73.372,210,180,73,13,27,19
"Robert Garrigus",-1.267,292.4,0.121,0.445,-0.956,-0.757,73.041,207,180,86,10,17,67
"D.A. Points",-1.309,267,0.075,-0.17,-0.342,-0.797,72.822,200,185,88,13,19,54
"Chad Collins",-1.347,269.4,0.324,-0.639,-1.061,0.353,72.769,197,175,79,19,35,66
"Ben Crane",-1.378,271.7,0.376,-0.709,-0.665,-0.003,72.609,192,180,75,16,31,99
"Kenny Perry",-1.503,286.7,-1.463,-0.947,0.067,-0.623,73.019,206,188,93,3,9,64
"Michael Kim",-1.622,272.5,0.011,-0.156,-1.681,0.215,73.472,212,180,75,23,44,129
"Seamus Power",-1.818,292,-0.224,-1.644,-0.29,0.115,73.843,215,191,91,24,42,112
"Francesco Molinari",-1.823,273.8,-0.003,-1.44,-0.149,-0.233,73.659,213,173,72,4,7,48
"Wesley Bryan",-3.253,267.8,-2.022,-0.599,-2.57,-0.084,75.529,216,183,0,6,9,43
